keyword,article_count,summary,original_length,summary_length,compression_ratio,processing_time,created_at
giá vàng hôm nay,2,"Mắt hôm nay, Kang So Ra diễn viên kịch và Park Seo Jun ,cùng với nhiều Celeb nổi... Mẹo nặn mụn mà không có sẹo...",443,114,25.7,3.16,2025-06-02T17:23:55.235113
건강보험,5,"건강보험, 장기요양보험, 산재보험, 연금보험 등에서 장애 관련 재원을 분산 조달하며 연방정부와 주정부 간 분권적 협력 체계를 통해 운영되는 개인예산제도는 예산의 직접성, 자율성 확보 측면에서 ‘고액·상습 체납’ 도끼가 최근 종합소득세, 지방세, 건강보험료 등을 포함한 총 6억 7200만원 상당의 미납 세금을 완납했다.",835,178,21.3,2.47,2025-06-02T17:23:57.702850
김기천,5,배우 김기천이 윤석열 전 대통령의 비상계엄 검토 논란을 강도 높게 비판했던 인물인 국민의힘 중앙선거대책위원회로부터 임명장을 받아 황당하다는 반응을 보였다.,856,86,10.0,1.11,2025-06-02T17:23:58.809360
김부선,5,"동국대학교 약학연수원, '제2차 제약혁신기술 역량강화 교육' 신청기간은 오는 4일까지이며 2차 교육 후 7월과 8월에 3·4차 교육이 진행되며 황유석 InnovivaSpeciality Therapeutics 박사와 김부선 동국대학교 제약·바이오산업학과 교수가 참여한다.",867,150,17.3,2.32,2025-06-02T17:24:01.134566
김용빈,5,지난 1일 방송된 KBS2 '사장님 귀는 당나귀 귀'에 출연한 김용빈은 과거 SM엔터테인먼트로부터 아이돌 데뷔 제안을 받았으나 거절했던 사실을 고백했고 지난 1일 방송된 KBS2 '사장님 귀는 당나귀 귀'에 출연한 김용빈은 과거 SM엔터테인먼트로부터 아이돌 데뷔 제안을 받았으나 거절했던 사실을 고백했다.,852,170,20.0,2.6,2025-06-02T17:24:03.739707
네스프레소,5,네스프레소가 다음 달 1일까지 서울 올림픽공원에서 열리는 '제17회 서울재즈페스티벌2025'의 공식 스폰서로 참가한다고 밝혔으며 이 행사는 30일에 발표되었는데 합작 초기 캡슐커피 사업부인 네스프레소(Nespresso) 영업부문 및 기타 영업자산과 부채를 네슬레코리아에 넘긴 후 커피믹스 사업에만 집중하는 구조를 짜기도 했으며 커피포 브랜드로 커피머신 렌탈과 원두 구독서비스를 출시했다.,794,216,27.2,2.83,2025-06-02T17:24:06.573884
박세진,5,프로야구 KT 위즈는 2일 롯데 자이언츠에 투수 박세진을 보내고 외야수 이정훈을 영입하는 트레이드를 단행했다고 밝혔으며 롯데 유니폼을 입는 박세진은 경북고를 졸업한 후 2016년 KT의 1차 지명을 받았고 이후 통산 6시즌 동안 42경기에...,854,136,15.9,2.51,2025-06-02T17:24:09.081414
삼성페이,5,삼성페이가 2일 오전 약 3시간 30분 동안 결제 오류를 일으켰다가 정상화됐는데 원인은 일부 카드사와 전용선 네트워크 장애로 지목되고 있으며 일부 신용카드사와의 네트워크 장애가 원인으로 지목되고 있다.,832,112,13.5,1.45,2025-06-02T17:24:10.527890
신명,5,지난달 29일 서울 CGV 용산아이파크몰에서 열린 영화 '신명' 제작보고회에서 배우 김규리가 150년 전 장안농요의 모습 그대로'들나가기-모찌기-모심기-점심참-초듬아시매기-이듬논뜯기- 신명풀이'과정을 재현해 300여명의 어르신들에게 짜장면을 무료 제공했다.,826,143,17.3,1.44,2025-06-02T17:24:11.968944
올스타 투표,5,"KBO는 2일 '2025 신한 SOL뱅크 KBO 올스타전' 베스트12 후보에 대한 구단별 팬 투표 명단을 공개했는데, 각 구단이 포지션별로 1명씩 추천한 방식으로 명단이 구성됐으며, 10개 팀에서 총 120명의 선수가 올스타 후보에 이름을 올렸다.",874,138,15.8,2.06,2025-06-02T17:24:14.029274
