rank,keyword,score,notes
1,현충일,90,"현충일 관련 사회적 분위기, 행사 등 다양한 측면 분석 가능"
2,채상병 사건,85,"사회적 이슈, 군대 내부 문제, 정의 등 다양한 관점에서 분석 가능"
3,대통령 재판 중지법,80,"정치적 이슈, 법적 논쟁, 사회적 영향 등 다양한 논의 가능"
4,이재명,75,"정치인, 사회적 영향력, 정치적 이슈 분석 가능"
5,김건희,70,"정치인 배우자, 사회적 관심, 사회적 영향력 분석 가능"
6,테슬라,70,"경제, 주식, 기술 등 다양한 분석 가능"
7,닌텐도 스위치,68,"게임, 기술, 문화 트렌드 분석 가능"
8,비트코인,65,"가상화폐, 경제, 투자, 기술 등 다양한 관점에서 분석 가능"
9,환율관찰대상국,60,"경제, 국제 정세, 금융 등 다양한 관점에서 분석 가능"
10,브라질 축구,55,"스포츠, 국제 경기, 문화 등 다양한 분석 가능"
11,아르헨티나 축구,55,"스포츠, 국제 경기, 문화 등 다양한 분석 가능"
12,북한,50,"정치, 국제 관계, 안보 등 다양한 관점에서 분석 가능"
13,마사회,45,"경마, 경제, 레저 등 다양한 관점에서 분석 가능"
14,김혜경 여사,40,"정치인 배우자, 사회적 관심, 사회적 영향력 분석 가능"
15,진관사 태극기,40,"정치, 사회, 문화 등 다양한 관점에서 분석 가능"
16,광장,35,"사회, 문화, 정치적 행위 등 다양한 관점에서 분석 가능"
17,현충원,35,"역사, 문화, 사회적 기억 등 다양한 관점에서 분석 가능"
18,G7,30,"국제 정치, 경제, 외교 등 다양한 관점에서 분석 가능"
19,해양수산부,30,"정부 부처, 정책, 경제 등 다양한 관점에서 분석 가능"
20,쿠팡플레이,25,"OTT 서비스, 미디어, 엔터테인먼트 등 다양한 관점에서 분석 가능"
21,롯데시네마,25,"영화, 엔터테인먼트, 문화 등 다양한 관점에서 분석 가능"
22,싸이 흠뻑쇼,25,"공연, 문화, 엔터테인먼트 등 다양한 관점에서 분석 가능"
23,게임,20,"게임 산업, 문화, 기술 등 다양한 관점에서 분석 가능"
24,트위치,20,"스트리밍 플랫폼, 미디어, 엔터테인먼트 등 다양한 관점에서 분석 가능"
25,에픽게임즈,20,"게임 개발사, 게임 산업, 기술 등 다양한 관점에서 분석 가능"
26,나인 퍼즐,15,"퍼즐 게임, 게임 트렌드 등 분석 가능"
27,브로드컴 주가,15,"주식, 경제, 기술 등 다양한 관점에서 분석 가능"
28,레이븐코인,15,"가상화폐, 경제, 투자 등 다양한 관점에서 분석 가능"
29,팔란티어,15,"기업, 기술, 경제 등 다양한 관점에서 분석 가능"
30,XRP,15,"가상화폐, 경제, 투자 등 다양한 관점에서 분석 가능"
31,코인니스,10,가상화폐 관련 정보 제공 플랫폼
32,크롬,10,"웹 브라우저, 기술"
33,srt,10,교통
